_H:	|cur_les_no_group	$cur_lesion_group	%cur_les_pct_group	%con_vis_mean	%con_visem_mean	%con_sem_mean	%con_blend_mean	%con_other_mean	%abs_vis_mean	%abs_visem_mean	%abs_sem_mean	%abs_blend_mean	%abs_other_mean	%con_vis_sem	%con_visem_sem	%con_sem_sem	%con_blend_sem	%con_other_sem	%abs_vis_sem	%abs_visem_sem	%abs_sem_sem	%abs_blend_sem	%abs_other_sem
_D:	3	"OS_HID"	0.1	4.28	0	0	0	0	5.88	0	0	0.04	0.08	0.337141	0	0	0	0	0.435688	0	0	0.0391918	0.0542586
_D:	3	"OS_HID"	0.2	3.88	0	0	0	0	5.64	0	0	0.04	0.08	0.420742	0	0	0	0	0.276434	0	0	0.0391918	0.0542586
_D:	3	"OS_HID"	0.3	2.8	0	0	0	0.04	6.04	0	0.04	0	0.24	0.288444	0	0	0	0.0391918	0.327316	0	0.0391918	0	0.0854166
_D:	3	"OS_HID"	0.4	2.4	0	0	0	0	6.2	0	0.08	0.04	0.12	0.334664	0	0	0	0	0.329848	0	0.0542586	0.0391918	0.0649923
_D:	3	"OS_HID"	0.5	3.16	0	0	0	0.04	6.08	0	0.04	0	0.32	0.347241	0	0	0	0.0391918	0.419218	0	0.0391918	0	0.0932952
_D:	3	"OS_HID"	0.6	2.6	0	0	0.04	0.04	6.08	0	0	0	0.24	0.233238	0	0	0.0391918	0.0391918	0.288	0	0	0	0.0854166
_D:	3	"OS_HID"	0.7	3.84	0	0	0	0.12	7.08	0	0	0	0.44	0.422109	0	0	0	0.0649923	0.314554	0	0	0	0.127499
_D:	3	"OS_HID"	0.8	3.44	0	0	0	0.08	5.68	0	0.04	0	0.52	0.294374	0	0	0	0.0542586	0.365382	0	0.0391918	0	0.114822
_D:	3	"OS_HID"	0.9	2.84	0	0	0	0.04	6.56	0	0	0	0.16	0.356337	0	0	0	0.0391918	0.449284	0	0	0	0.0733212
_D:	3	"OS_HID"	1	5	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	4	"SP_HID"	0.1	4.84	0	0	0.16	0.16	6.04	0.08	0.16	0.2	0.36	0.328293	0	0	0.0733212	0.0733212	0.341667	0.0542586	0.0733212	0.0979796	0.096
_D:	4	"SP_HID"	0.2	6.88	0	0	0.76	0.12	6.56	0.2	0.24	0.32	0.6	0.363626	0	0	0.198232	0.0649923	0.294374	0.08	0.10245	0.0932952	0.149666
_D:	4	"SP_HID"	0.3	7.48	0	0.04	1.24	0.84	7.28	0.08	0.2	1	1.2	0.371462	0	0.0391918	0.254747	0.193329	0.447285	0.0542586	0.08	0.178885	0.246577
_D:	4	"SP_HID"	0.4	8.32	0.12	0.24	2.24	1.36	6.84	0.32	0.72	1.84	2.8	0.462065	0.0649923	0.0854166	0.372151	0.218211	0.398718	0.109105	0.120266	0.313331	0.379473
_D:	4	"SP_HID"	0.5	6.64	0.28	0.84	2.36	3.56	6.84	0.52	0.92	2.28	5.76	0.395495	0.0897998	0.184868	0.352727	0.37129	0.406664	0.09992	0.112	0.322589	0.460539
_D:	4	"SP_HID"	0.6	5.64	0.4	1.28	3.8	5.16	5.52	0.36	0.88	3.24	7.36	0.31435	0.0979796	0.222854	0.476655	0.41058	0.427532	0.111427	0.172696	0.572098	0.562509
_D:	4	"SP_HID"	0.7	4.2	0.36	1.64	5.04	5.52	5.2	0.2	0.68	4.56	7.08	0.304631	0.096	0.293285	0.549851	0.404455	0.357771	0.08	0.146642	0.625025	0.568282
_D:	4	"SP_HID"	0.8	3.36	0.24	1.52	6.84	6.16	4.12	0.24	0.68	6.64	7.04	0.387319	0.0854166	0.294591	1.00825	0.710335	0.500624	0.10245	0.167045	1.06565	0.776618
_D:	4	"SP_HID"	0.9	2.92	0.4	2.12	6.12	6.76	4.4	0.12	0.52	5.76	7.56	0.39968	0.0979796	0.321596	1.01401	0.808515	0.441814	0.0649923	0.150944	0.885944	0.890986
_D:	4	"SP_HID"	1	3	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
_D:	5	"OP_HID"	0.1	4.92	0.6	2.48	0.28	9.16	3	0.08	2.2	0.08	7.76	0.361862	0.0979796	0.335237	0.0897998	0.651595	0.246577	0.0542586	0.246577	0.0542586	0.633163
_D:	5	"OP_HID"	0.2	3.8	0.04	1.56	0.36	11.12	2	0.08	2.52	0.08	10.64	0.293939	0.0391918	0.204587	0.111427	0.56659	0.282843	0.0542586	0.227121	0.0542586	0.621945
_D:	5	"OP_HID"	0.3	3.28	0.08	2.24	0.48	12.24	1.64	0.08	3.32	0.08	11.36	0.285769	0.0542586	0.27294	0.128	0.497289	0.210751	0.0542586	0.244753	0.0542586	0.407451
_D:	5	"OP_HID"	0.4	2.72	0	2.12	0.16	13.72	1.56	0.04	3.2	0.16	12.44	0.296756	0	0.316582	0.0733212	0.443694	0.259723	0.0391918	0.293939	0.0733212	0.419829
_D:	5	"OP_HID"	0.5	3.28	0.04	2	0.12	13.4	1.84	0.04	2.84	0.12	12.6	0.243442	0.0391918	0.304631	0.0649923	0.459565	0.297617	0.0391918	0.292192	0.0649923	0.42332
_D:	5	"OP_HID"	0.6	2.92	0.16	2.76	0.32	12.84	2.08	0.12	2.88	0	12.64	0.334281	0.0733212	0.442827	0.109105	0.44427	0.239466	0.0649923	0.27897	0	0.29869
_D:	5	"OP_HID"	0.7	1.72	0.16	2.68	0.2	14.24	2.16	0.04	3	0.08	13.04	0.236778	0.0733212	0.429772	0.113137	0.39306	0.244491	0.0391918	0.39598	0.0542586	0.405877
_D:	5	"OP_HID"	0.8	1.72	0.24	3.12	0.44	13.88	2.28	0.12	2.92	0.16	13.2	0.183478	0.0854166	0.460678	0.1796	0.546465	0.285769	0.0649923	0.411514	0.0926067	0.348712
_D:	5	"OP_HID"	0.9	1.32	0.2	2.64	1.32	13.88	1.48	0.04	2.4	1.48	13.68	0.176363	0.08	0.476252	0.671047	0.684269	0.188637	0.0391918	0.459565	0.763403	0.692173
_D:	5	"OP_HID"	1	2	0	3	0	7	1	0	1	0	6	0	0	0	0	0	0	0	0	0	0
_D:	6	"OS_HID_DIRECT_FULL"	0.1	2.64	0	2.44	0.2	12.04	1.24	0.04	1.76	0	15.4	0.232413	0	0.27759	0.0979796	0.535104	0.189989	0.0391918	0.235151	0	0.666933
_D:	6	"OS_HID_DIRECT_FULL"	0.2	2	0	2.76	0.88	13.04	1.44	0	1.2	0	16.88	0.195959	0	0.300826	0.214065	0.381492	0.188298	0	0.195959	0	0.326533
_D:	6	"OS_HID_DIRECT_FULL"	0.3	1.36	0	2.56	1.76	13.08	1.36	0.04	1.56	0	16.72	0.203017	0	0.325355	0.380652	0.445134	0.258488	0.0391918	0.283295	0	0.494837
_D:	6	"OS_HID_DIRECT_FULL"	0.4	1.44	0.04	3.52	0.52	13.52	1.6	0	1	0	16.76	0.226839	0.0391918	0.325552	0.179956	0.40048	0.21166	0	0.203961	0	0.354536
_D:	6	"OS_HID_DIRECT_FULL"	0.5	1.08	0.04	3.28	1.12	13.6	1.56	0	0.8	0.12	17.36	0.203332	0.0391918	0.389954	0.242124	0.51225	0.170458	0	0.178885	0.0861626	0.282163
_D:	6	"OS_HID_DIRECT_FULL"	0.6	1.48	0.04	3	0.8	13.76	1.76	0	0.72	0.08	16.88	0.212565	0.0391918	0.35327	0.329848	0.477594	0.260952	0	0.174539	0.0542586	0.284647
_D:	6	"OS_HID_DIRECT_FULL"	0.7	1.12	0	2.6	0.84	14.72	2.56	0	1.28	0.08	15.88	0.254998	0	0.357771	0.318396	0.532225	0.253488	0	0.280114	0.0542586	0.384999
_D:	6	"OS_HID_DIRECT_FULL"	0.8	1.08	0	2.92	1	14.04	2.12	0	0.92	0.16	16.48	0.211054	0	0.387484	0.362215	0.564213	0.228526	0	0.203332	0.122376	0.259969
_D:	6	"OS_HID_DIRECT_FULL"	0.9	1.2	0.08	2.68	1.12	14.2	2.12	0.04	0.76	0.6	16.24	0.219089	0.0542586	0.418454	0.560913	0.60663	0.326533	0.0391918	0.248387	0.407922	0.513124
_D:	6	"OS_HID_DIRECT_FULL"	1	0	0	0	20	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0
_D:	7	"SP_HID_DIRECT_FULL"	0.1	2.04	0	2.52	1.72	11.96	1.28	0.08	1.76	1.68	14.68	0.268209	0	0.320599	0.262419	0.628598	0.208	0.0542586	0.241859	0.286887	0.269637
