_H:	|batch	|epoch	%avg_sse	%cnt_err	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr
_D:	0	0	14.6242	40	0	69.5	2.05	1.88
_D:	0	1	12.2374	40	0	70	2.19	1.98
_D:	0	2	10.9719	40	0	69	2.31	2.09
_D:	0	3	9.95508	40	0	69.825	2.3	2.07
_D:	0	4	9.55396	40	0	69.775	2.4	2.06
_D:	0	5	8.40003	40	0	69.75	2.27	2.03
_D:	0	6	8.20243	40	0	69.325	2.28	2.08
_D:	0	7	6.60908	40	0	68.975	2.93	2.4
_D:	0	8	4.53981	40	0	68.65	2.07	1.9
_D:	0	9	7.99244	37	0	68.85	2.06	1.9
_D:	0	10	6.25506	37	0	67.325	2.04	1.88
_D:	0	11	5.21204	38	0	66.525	2.03	1.87
_D:	0	12	6.0081	33	0	66.4	2.03	1.87
_D:	0	13	5.41434	35	0	65.875	1.99	1.84
_D:	0	14	4.13905	33	0	65.775	2	1.84
_D:	0	15	5.08336	35	0	67.05	2.01	1.85
_D:	0	16	5.63398	33	0	66.825	2.01	1.86
_D:	0	17	4.11056	28	0	64.95	1.95	1.79
_D:	0	18	3.34761	25	0	63.55	1.94	1.78
_D:	0	19	5.07967	29	0	64.65	1.96	1.79
_D:	0	20	6.64693	28	0	63.125	1.95	1.78
_D:	0	21	4.24028	29	0	62.225	1.94	1.78
_D:	0	22	5.78085	32	0	64.85	1.98	1.81
_D:	0	23	3.26525	23	0	60.75	1.93	1.78
_D:	0	24	3.78323	24	0	61.35	1.95	1.78
_D:	0	25	6.2383	30	0	62.525	2.06	1.89
_D:	0	26	4.83234	26	0	62.6	2.73	2.05
_D:	0	27	4.86121	27	0	62.3	1.92	1.75
_D:	0	28	3.8731	26	0	62.875	1.9	1.75
_D:	0	29	6.52809	28	0	62.25	1.91	1.75
_D:	0	30	4.84434	27	0	59.725	1.83	1.68
_D:	0	31	4.11202	22	0	61.825	1.9	1.74
_D:	0	32	4.38496	24	0	60.225	1.87	1.72
_D:	0	33	4.1817	20	0	60.325	2.77	2.51
_D:	0	34	3.28559	22	0	59.675	3.31	2.89
_D:	0	35	3.57318	21	0	58.25	1.85	1.7
_D:	0	36	1.05342	18	0	55.875	1.76	1.62
_D:	0	37	4.44574	20	0	58.05	1.78	1.64
_D:	0	38	3.60052	17	0	58.45	1.8	1.65
_D:	0	39	4.51689	19	0	60.575	1.83	1.68
_D:	0	40	3.71453	18	0	58.875	1.8	1.66
_D:	0	41	4.98106	25	0	56.3	1.77	1.63
_D:	0	42	2.88603	19	0	58.375	1.78	1.63
_D:	0	43	4.37386	22	0	56.75	1.76	1.63
_D:	0	44	2.96966	19	0	56.75	1.78	1.64
_D:	0	45	3.86045	20	0	57.8	1.8	1.65
_D:	0	46	2.11469	16	0	56.1	1.78	1.63
_D:	0	47	4.28682	20	0	56.825	1.77	1.62
_D:	0	48	3.43684	18	0	58.925	1.79	1.64
_D:	0	49	3.83657	17	0	57.875	1.75	1.6
_D:	0	50	3.42034	21	0	58.175	1.8	1.66
_D:	0	51	2.13414	21	0	53.75	1.71	1.58
_D:	0	52	4.10041	17	0	56.1	1.73	1.59
_D:	0	53	2.96511	18	0	56.775	1.77	1.62
_D:	0	54	2.90216	19	0	57.575	1.75	1.62
_D:	0	55	3.63142	16	0	57.825	1.78	1.64
_D:	0	56	2.2313	16	0	56.625	1.75	1.6
_D:	0	57	3.61294	18	0	56.55	1.75	1.6
_D:	0	58	2.05602	18	0	53.3	1.68	1.54
_D:	0	59	2.49408	16	0	54.075	1.69	1.55
_D:	0	60	2.6149	15	0	55.075	1.73	1.59
_D:	0	61	2.29119	13	0	53.325	1.68	1.54
_D:	0	62	1.96289	15	0	56.475	1.72	1.58
_D:	0	63	2.58322	13	0	55.125	1.7	1.56
_D:	0	64	1.42128	10	0	53.6	1.68	1.54
_D:	0	65	3.152	15	0	55.4	1.73	1.58
_D:	0	66	2.91662	20	0	56.175	1.74	1.59
_D:	0	67	0.650589	11	0	53.075	1.68	1.54
_D:	0	68	0.745204	13	0	52.1	1.63	1.5
_D:	0	69	2.90042	17	0	55.7	1.71	1.57
_D:	0	70	2.22814	14	0	50.075	1.59	1.46
_D:	0	71	2.18779	17	0	51.25	1.68	1.53
_D:	0	72	2.30111	13	0	52.175	1.62	1.5
_D:	0	73	1.15171	15	0	49.025	1.57	1.45
_D:	0	74	1.69472	18	0	53.325	1.65	1.51
_D:	0	75	2.23174	10	0	54	1.67	1.53
_D:	0	76	3.8136	15	0	54.65	1.7	1.56
_D:	0	77	3.82186	15	0	53.775	1.66	1.53
_D:	0	78	3.15531	16	0	52.625	1.63	1.5
_D:	0	79	1.32471	13	0	51.425	1.61	1.49
_D:	0	80	2.39702	13	0	53.875	1.64	1.52
_D:	0	81	1.76923	12	0	54.2	1.65	1.52
_D:	0	82	1.19012	16	0	54.1	1.66	1.53
_D:	0	83	1.47868	13	0	51.175	1.59	1.46
_D:	0	84	1.42283	14	0	51.2	1.61	1.48
_D:	0	85	2.30943	16	0	52.625	1.61	1.49
_D:	0	86	3.02117	14	0	50.175	1.58	1.46
_D:	0	87	2.88179	14	0	51.45	1.6	1.48
_D:	0	88	1.93637	15	0	51.75	1.61	1.48
_D:	0	89	2.0886	15	0	50.2	1.58	1.45
_D:	0	90	1.96456	14	0	51.7	1.62	1.5
_D:	0	91	1.10334	12	0	53.125	1.62	1.49
_D:	0	92	1.18272	13	0	50.625	1.6	1.47
_D:	0	93	1.13707	14	0	52.65	1.63	1.5
_D:	0	94	1.95987	12	0	49.6	1.6	1.46
_D:	0	95	2.20921	12	0	52.775	1.64	1.51
_D:	0	96	2.80615	17	0	50.5	1.6	1.47
_D:	0	97	1.93102	10	0	50.825	1.58	1.46
_D:	0	98	1.31732	13	0	50.8	1.61	1.48
_D:	0	99	2.10326	20	0	53.025	1.65	1.51
_D:	0	100	2.24751	12	0	51.95	1.62	1.48
_D:	0	101	0.616018	10	0	49.775	1.57	1.44
_D:	0	102	0.751888	13	0	50.1	1.58	1.45
_D:	0	103	1.42842	13	0	50.45	1.59	1.46
_D:	0	104	1.11066	15	0	51.075	1.6	1.47
_D:	0	105	1.58827	12	0	54.075	1.63	1.5
_D:	0	106	2.18592	17	0	52.375	1.63	1.5
_D:	0	107	1.72446	13	0	51.675	1.61	1.47
_D:	0	108	2.04103	14	0	50.6	1.58	1.45
_D:	0	109	1.58224	10	0	53.275	1.65	1.51
_D:	0	110	1.05564	16	0	53.4	1.64	1.5
_D:	0	111	1.51031	13	0	49.775	1.56	1.44
_D:	0	112	1.88506	14	0	53.825	1.65	1.52
_D:	0	113	1.59633	16	0	52.125	1.63	1.49
_D:	0	114	1.0935	9	0	51.475	1.6	1.46
_D:	0	115	2.07886	14	0	52	1.63	1.5
_D:	0	116	1.22127	11	0	52.2	1.6	1.48
_D:	0	117	0.313998	7	0	52.775	1.61	1.47
_D:	0	118	1.27078	10	0	51.3	1.6	1.46
_D:	0	119	1.03153	8	0	52.15	1.6	1.46
_D:	0	120	1.24822	12	0	51.525	1.58	1.45
_D:	0	121	0.568	10	0	49.95	1.54	1.41
_D:	0	122	0.921124	10	0	50.675	1.58	1.45
_D:	0	123	1.64196	14	0	51.35	1.6	1.47
_D:	0	124	1.0597	9	0	49.05	1.52	1.41
_D:	0	125	0.76058	12	0	51.975	1.59	1.47
_D:	0	126	1.75147	14	0	50.5	1.55	1.43
_D:	0	127	1.4163	10	0	51.325	1.58	1.46
_D:	0	128	1.10034	10	0	48.4	2.29	2.08
_D:	0	129	0.549856	8	0	53.725	1.67	1.53
_D:	0	130	2.01688	12	0	50.875	1.62	1.48
_D:	0	131	1.51816	13	0	52.025	1.61	1.48
_D:	0	132	0.524702	11	0	50.85	1.58	1.46
_D:	0	133	2.17669	14	0	48.5	1.53	1.41
_D:	0	134	0.425398	9	0	49.5	1.54	1.41
_D:	0	135	0.939792	14	0	53.525	1.62	1.49
_D:	0	136	0.313792	9	0	51.7	1.57	1.45
_D:	0	137	0.436467	11	0	49.8	1.53	1.41
_D:	0	138	0.863763	8	0	48.85	1.52	1.4
_D:	0	139	2.16707	13	0	50.05	1.59	1.46
_D:	0	140	1.22527	9	0	51.15	2.01	1.83
_D:	0	141	0.396827	8	0	49.775	1.45	1.33
_D:	0	142	0.612244	10	0	50.3	1.48	1.35
_D:	0	143	1.35433	10	0	50.15	1.48	1.35
_D:	0	144	1.88825	15	0	49.725	1.48	1.35
_D:	0	145	1.70793	14	0	47.8	1.57	1.42
_D:	0	146	1.65031	13	0	54.225	1.58	1.44
_D:	0	147	0.481831	7	0	52.525	1.53	1.4
_D:	0	148	2.19079	13	0	51.1	1.56	1.41
_D:	0	149	1.61429	10	0	49.4	1.61	1.4
_D:	0	150	0.480969	7	0	47.075	1.48	1.34
_D:	0	151	1.76925	9	0	51.6	1.62	1.44
_D:	0	152	0.664334	14	0	52.25	1.61	1.43
_D:	0	153	0.234589	7	0	49.45	1.54	1.4
_D:	0	154	1.20798	11	0	48.975	1.46	1.33
_D:	0	155	1.36742	15	0	49.15	1.44	1.32
_D:	0	156	1.01875	12	0	48.625	1.43	1.31
_D:	0	157	1.48205	11	0	49.325	1.44	1.31
_D:	0	158	0.881498	9	0	48.9	1.42	1.31
_D:	0	159	1.00747	9	0	49.425	1.43	1.32
_D:	0	160	0.52723	9	0	49.95	1.43	1.32
_D:	0	161	0.754793	11	0	52.5	1.49	1.37
_D:	0	162	2.12548	13	0	50.225	1.45	1.33
_D:	0	163	0.694009	10	0	48.675	1.42	1.3
_D:	0	164	0.402627	10	0	48.05	1.4	1.28
_D:	0	165	0.525485	7	0	50.275	1.44	1.32
_D:	0	166	1.68748	11	0	50.825	1.47	1.34
_D:	0	167	1.02976	8	0	51.9	1.47	1.35
_D:	0	168	1.07237	9	0	49.15	1.42	1.3
_D:	0	169	0.527463	7	0	47.825	1.4	1.29
_D:	0	170	0.930787	9	0	47.475	1.4	1.29
_D:	0	171	1.13484	10	0	51.925	1.49	1.37
_D:	0	172	0.594932	9	0	49.35	1.43	1.31
_D:	0	173	0.523631	7	0	49.675	1.43	1.31
_D:	0	174	0.424757	8	0	48.975	1.42	1.3
_D:	0	175	1.40144	13	0	49.475	1.43	1.32
_D:	0	176	2.1785	11	0	49.65	1.43	1.31
_D:	0	177	0.624247	10	0	49.675	1.44	1.31
_D:	0	178	0.803172	11	0	49	1.43	1.31
_D:	0	179	0.610232	8	0	51.35	1.45	1.32
_D:	0	180	0.723114	6	0	50.05	1.45	1.33
_D:	0	181	1.0921	8	0	48.55	1.41	1.29
_D:	0	182	1.01422	13	0	49.725	1.44	1.31
_D:	0	183	1.12475	8	0	48.125	1.43	1.31
_D:	0	184	1.27868	12	0	50.725	1.45	1.33
_D:	0	185	1.84251	11	0	49.575	1.44	1.32
_D:	0	186	0.724581	9	0	50.35	1.44	1.32
_D:	0	187	1.83462	11	0	51.475	1.46	1.34
_D:	0	188	1.26477	8	0	51.45	1.47	1.34
_D:	0	189	1.1871	9	0	48.925	1.43	1.31
_D:	0	190	0.206521	4	0	47.175	1.39	1.27
_D:	0	191	1.24943	10	0	52.825	1.5	1.36
_D:	0	192	2.0837	10	0	48.3	1.44	1.3
_D:	0	193	0.782645	9	0	48.275	1.39	1.28
_D:	0	194	0.399749	9	0	50.55	1.44	1.32
_D:	0	195	1.35808	10	0	47.95	1.39	1.28
_D:	0	196	0.664347	6	0	50.25	1.44	1.32
_D:	0	197	1.4611	13	0	50.8	1.44	1.31
_D:	0	198	0.888406	9	0	49.725	1.44	1.31
_D:	0	199	1.07634	5	0	49.275	1.41	1.29
_D:	0	200	1.96664	14	0	49.975	1.44	1.32
_D:	0	201	0.695983	6	0	52.025	1.45	1.32
_D:	0	202	1.40101	11	0	49.7	1.42	1.31
_D:	0	203	0.593702	8	0	51.125	1.46	1.34
_D:	0	204	0.778779	7	0	48.575	1.4	1.28
_D:	0	205	1.59471	11	0	49.275	1.43	1.32
_D:	0	206	1.18351	10	0	51.15	1.46	1.33
_D:	0	207	1.39459	10	0	50.8	1.43	1.31
_D:	0	208	1.21589	9	0	47.75	1.44	1.32
_D:	0	209	1.73818	9	0	50.425	1.49	1.35
_D:	0	210	1.42003	13	0	49.775	1.44	1.31
_D:	0	211	0.480311	12	0	47.35	1.42	1.3
_D:	0	212	1.49034	10	0	49.1	1.42	1.29
_D:	0	213	0.942454	7	0	47.6	1.4	1.27
_D:	0	214	0.284154	7	0	46.775	1.38	1.26
_D:	0	215	0.427496	6	0	45.975	1.36	1.24
_D:	0	216	2.94257	11	0	51.125	1.47	1.34
_D:	0	217	2.28502	12	0	49.95	1.44	1.31
_D:	0	218	2.2836	12	0	48.5	1.41	1.3
_D:	0	219	1.02637	9	0	48.625	1.42	1.3
_D:	0	220	1.0495	10	0	51.975	1.48	1.36
_D:	0	221	0.756026	9	0	51.725	1.47	1.33
_D:	0	222	1.14731	8	0	50.75	1.45	1.32
_D:	0	223	2.51485	11	0	50.1	1.46	1.33
_D:	0	224	1.02702	8	0	52.325	1.47	1.33
_D:	0	225	0.953034	8	0	50.45	1.44	1.31
_D:	0	226	0.420286	8	0	47.35	1.37	1.25
_D:	0	227	0.570654	7	0	49.7	1.42	1.29
_D:	0	228	0.482903	9	0	49.925	1.42	1.3
_D:	0	229	1.4267	12	0	48.15	1.4	1.27
_D:	0	230	1.23963	11	0	48.4	1.41	1.28
_D:	0	231	0.235219	5	0	51.575	1.44	1.31
_D:	0	232	0.188438	3	0	49.525	1.41	1.29
_D:	0	233	1.60083	11	0	48.85	1.4	1.28
_D:	0	234	2.08632	11	0	50.1	1.45	1.33
_D:	0	235	1.00744	8	0	49.325	1.42	1.31
_D:	0	236	0.736057	9	0	48.325	1.39	1.27
_D:	0	237	1.16233	9	0	50.5	1.43	1.32
_D:	0	238	1.49007	9	0	47.5	1.38	1.27
_D:	0	239	0.820443	10	0	50.275	1.43	1.31
_D:	0	240	1.8555	8	0	47.275	1.38	1.27
_D:	0	241	2.30686	11	0	52	1.46	1.34
_D:	0	242	0.820539	9	0	46.775	1.37	1.25
_D:	0	243	0.856955	6	0	49.625	1.42	1.3
_D:	0	244	1.07943	8	0	49.275	1.41	1.29
_D:	0	245	0.987859	9	0	46.875	1.36	1.25
_D:	0	246	0.790787	8	0	48.3	1.4	1.29
_D:	0	247	1.12955	7	0	49.55	1.41	1.3
_D:	0	248	0.124627	5	0	46.05	1.35	1.24
_D:	0	249	0.325045	9	0	49.55	1.4	1.28
_D:	0	0	0	0	0	0	1.73	1.57
_D:	0	0	0	0	0	0	1.55	1.42
_D:	0	0	0	0	0	0	1.51	1.39
_D:	0	0	0	0	0	0	1.55	1.41
_D:	0	0	0	0	0	0	1.46	1.34
_D:	0	0	0	0	0	0	1.6	1.46
_D:	0	0	0	0	0	0	1.52	1.41
_D:	0	0	0	0	0	0	1.49	1.37
_D:	0	0	0	0	0	0	1.48	1.36
_D:	0	0	0	0	0	0	1.53	1.42
_D:	0	0	0	0	0	0	1.55	1.43
_D:	0	0	0	0	0	0	1.47	1.36
