_H:	|batch	|epoch	%avg_sse	%cnt_err	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr
_D:	0	0	11.6653	750	0	32.1449	123.29	122.43
_D:	0	1	9.03973	681	0	38.9269	124.67	124.07
_D:	0	2	8.78215	654	0	43.5344	132.31	131.49
_D:	0	3	8.30825	665	0	48.2205	147.1	146.18
_D:	0	4	7.71787	728	0	49.8168	166.6	165.76
_D:	0	5	7.26111	625	0	50.4225	155.39	154.55
_D:	0	6	7.72087	594	0	50.1679	145.34	144.39
_D:	0	7	7.06	593	0	48.6957	146.19	145.32
_D:	0	8	6.58415	565	0	50.5862	144.34	143.57
_D:	0	9	6.49258	594	0	50.2332	156.68	155.93
_D:	0	10	5.65652	499	0	49.5506	143.37	142.52
_D:	0	11	6.10081	555	0	49.8931	157.06	156.07
_D:	0	12	6.07366	520	0	49.7681	152.93	151.93
_D:	0	13	6.05234	507	0	49.6298	144.66	143.1
_D:	0	14	5.22988	476	0	49.7968	139.99	139.08
_D:	0	15	5.309	456	0	48.5126	135.01	134.21
_D:	0	16	4.61934	462	0	47.4232	141.74	140.9
_D:	0	17	4.43841	420	0	47.839	140.58	139.75
_D:	0	18	4.21734	420	0	46.8839	140.18	139.32
_D:	0	19	3.90123	439	0	48.1051	143.96	143.23
_D:	0	20	4.51953	440	0	48.5042	142.28	141.37
_D:	0	21	4.61462	443	0	48.7155	146.69	145.84
_D:	0	22	3.42961	388	0	45.4186	133.72	132.99
_D:	0	23	3.37354	369	0	44.3519	139.23	138.37
_D:	0	24	3.70501	427	0	46.289	150.91	150.14
_D:	0	25	3.85433	391	0	46.9291	147.33	146.31
_D:	0	26	3.55209	343	0	45.802	133	132.24
_D:	0	27	2.57508	374	0	43.0232	143.76	142.87
_D:	0	28	2.57012	310	0	43.8969	133.2	132.4
_D:	0	29	2.59738	332	0	42.842	133.21	132.46
_D:	0	30	2.95866	326	0	44.0055	137.13	136.38
_D:	0	31	3.59212	339	0	45.9706	139.13	138.32
_D:	0	32	3.56026	315	0	44.5406	131.65	130.87
_D:	0	33	2.43854	297	0	42.069	128.26	127.5
_D:	0	34	2.30725	257	0	41.7887	126.84	126.12
_D:	0	35	2.41254	298	0	42.7018	134.11	133.33
_D:	0	36	2.24696	295	0	42.0682	135.38	134.62
_D:	0	37	2.01221	280	0	41.9634	136.12	135.32
_D:	0	38	3.13564	319	0	44.4502	136.58	135.76
_D:	0	39	3.54019	345	0	45.0885	144.33	143.59
_D:	0	40	2.94265	278	0	42.6488	125.51	124.7
_D:	0	41	2.61922	275	0	42.4344	127.69	126.86
_D:	0	42	2.62991	294	0	41.6883	136.9	136.09
_D:	0	43	2.33594	293	0	42.1669	136.69	135.91
_D:	0	44	2.1931	250	0	40.2767	132.05	131.28
_D:	0	45	2.30117	263	0	40.6385	133.02	132.22
_D:	0	46	2.45625	270	0	40.2297	131.05	130.34
_D:	0	47	2.55416	254	0	41.2083	127.03	126.31
_D:	0	48	1.76687	269	0	39.866	133.97	133.11
_D:	0	49	1.75978	246	0	39.8019	133.18	132.43
_D:	0	50	1.91248	257	0	40.1841	138.38	137.57
_D:	0	51	1.85397	233	0	40.7074	137.03	136.29
_D:	0	52	2.00025	232	0	39.4752	130.33	129.6
_D:	0	53	1.86199	256	0	40.3776	130.02	129.26
