_H:	|batch	|epoch	%avg_sse	%cnt_err	%test_cnt_err	%test_avg_sse	%avg_cycles	%epoch_time_tot	%epoch_time_usr
_D:	0	0	0.638257	473	113	1.45534	37.8005	7.35	7.29
_D:	0	1	0.687602	478	94	1.1963	39.7105	8.05	7.93
_D:	0	2	0.659219	459	115	1.48684	40.9029	7.48	7.37
_D:	0	3	0.670251	494	99	1.28119	42.423	7.48	7.36
_D:	0	4	0.601988	414	116	1.51516	43.986	7.44	7.34
_D:	0	5	0.617332	422	103	1.33551	44.8492	8.6	8.52
_D:	0	6	0.586279	408	87	1.1226	46.0363	8.81	8.71
_D:	0	7	0.504748	346	89	1.16787	46.7472	8.34	8.23
_D:	0	8	0.543317	370	101	1.33167	46.9894	7.99	7.9
_D:	0	9	0.531936	368	85	1.12309	47.366	8.04	7.93
_D:	0	10	0.536275	363	80	1.06598	47.4174	8.33	8.26
_D:	0	11	0.504734	343	83	1.10389	47.3543	8.33	8.2
_D:	0	12	0.520387	351	54	0.7153	47.1115	8.28	8.17
_D:	0	13	0.500487	343	74	0.991264	46.9729	7.97	7.9
_D:	0	14	0.460044	316	53	0.70532	46.3808	8.26	8.17
_D:	0	15	0.448048	302	69	0.906017	45.8194	8.18	8.03
_D:	0	16	0.384567	253	70	0.942831	45.5147	8.06	7.99
_D:	0	17	0.396623	261	96	1.30426	44.8679	8.08	8
_D:	0	18	0.486309	316	56	0.755875	45.3584	7.71	7.64
_D:	0	19	0.455344	296	66	0.882552	45.2601	7.68	7.56
_D:	0	20	0.425485	284	63	0.837169	44.7619	7.85	7.76
_D:	0	21	0.406061	267	68	0.914219	44.1916	7.8	7.69
_D:	0	22	0.416328	269	54	0.730051	43.9577	7.65	7.58
_D:	0	23	0.419224	285	69	0.932515	43.4945	7.48	7.41
_D:	0	24	0.411097	269	66	0.872331	42.7413	7.71	7.67
_D:	0	25	0.334598	215	60	0.814537	41.8802	6.96	6.87
_D:	0	26	0.435234	288	68	0.916972	42.6345	7.53	7.42
_D:	0	27	0.404347	265	53	0.716326	42.8864	7.5	7.42
_D:	0	28	0.408398	263	58	0.781405	42.2254	7.45	7.36
_D:	0	29	0.419734	285	50	0.675029	42.3532	7.27	7.2
_D:	0	30	0.353055	235	52	0.687509	42.0216	7.35	7.27
_D:	0	31	0.350458	243	62	0.819074	41.4681	7.24	7.2
_D:	0	32	0.352087	229	79	1.07583	41.3014	7.21	7.1
_D:	0	33	0.361508	245	50	0.677623	41.146	7.01	6.92
_D:	0	34	0.304763	204	52	0.691045	40.7855	7.43	7.35
_D:	0	35	0.389133	268	55	0.745807	42.0552	7.19	7.08
_D:	0	36	0.364714	232	54	0.7325	41.0067	7.16	7.07
_D:	0	37	0.315193	200	50	0.67599	39.7895	6.75	6.66
_D:	0	38	0.333115	227	51	0.687069	40.0876	7.01	6.93
_D:	0	39	0.352374	229	39	0.52967	40.2806	7.08	6.99
_D:	0	40	0.287865	185	53	0.722012	40.1031	6.82	6.71
_D:	0	41	0.331687	219	48	0.646639	39.876	6.78	6.69
_D:	0	42	0.29234	196	49	0.663471	39.6179	6.92	6.85
_D:	0	43	0.300971	200	64	0.868559	39.7327	6.88	6.79
_D:	0	44	0.319268	198	59	0.790861	39.5885	6.98	6.92
_D:	0	45	0.293255	188	53	0.725498	38.9368	6.7	6.62
_D:	0	46	0.303476	206	58	0.787613	39.2132	6.73	6.64
_D:	0	47	0.374549	247	62	0.847886	40.119	6.83	6.78
_D:	0	48	0.362946	240	63	0.858642	39.6677	7	6.89
_D:	0	49	0.296318	201	69	0.93666	38.9874	6.58	6.52
_D:	0	50	0.336721	229	44	0.59209	39.7079	6.93	6.84
_D:	0	51	0.316047	212	51	0.693475	39.0793	6.55	6.5
_D:	0	52	0.303945	196	58	0.786527	39.1167	6.73	6.65
_D:	0	53	0.272024	189	39	0.528969	38.9388	6.55	6.47
_D:	0	54	0.290951	195	35	0.477682	38.739	6.68	6.62
_D:	0	55	0.29059	185	52	0.710637	39.5017	6.58	6.51
_D:	0	56	0.291764	193	54	0.720048	39.1852	6.63	6.53
_D:	0	57	0.271297	175	30	0.403969	38.412	6.66	6.58
_D:	0	58	0.273593	172	64	0.880008	38.9017	6.81	6.71
_D:	0	59	0.276003	178	38	0.517098	38.968	6.49	6.41
_D:	0	60	0.271179	179	45	0.61693	38.242	6.54	6.43
_D:	0	61	0.283191	185	34	0.46331	38.3796	6.42	6.35
_D:	0	62	0.285583	179	40	0.545101	38.3057	6.51	6.47
_D:	0	63	0.264061	164	30	0.394931	38.0794	6.62	6.54
_D:	0	64	0.293511	192	42	0.569999	38.922	6.75	6.68
_D:	0	65	0.249879	165	59	0.798861	38.3445	6.73	6.65
_D:	0	66	0.305595	195	36	0.488594	38.4971	6.68	6.61
_D:	0	67	0.281922	189	36	0.491139	38.5296	6.6	6.51
_D:	0	68	0.317245	207	63	0.858776	38.4734	6.54	6.49
_D:	0	69	0.283585	180	21	0.285693	38.3679	6.62	6.54
_D:	0	70	0.302046	198	54	0.719428	38.3352	6.46	6.41
_D:	0	71	0.256055	167	43	0.585633	37.9624	6.57	6.47
_D:	0	72	0.271912	179	29	0.388249	38.173	6.45	6.38
_D:	0	73	0.214653	139	52	0.704379	37.6236	6.34	6.27
_D:	0	74	0.273284	177	39	0.532058	37.1871	6.61	6.52
_D:	0	75	0.287743	192	41	0.561656	37.9296	6.49	6.42
_D:	0	76	0.276643	185	42	0.565713	37.8973	6.47	6.4
_D:	0	77	0.274304	186	47	0.64479	37.8652	6.55	6.46
_D:	0	78	0.300784	195	42	0.561996	37.7757	6.43	6.34
_D:	0	79	0.287647	184	44	0.598424	38.2054	6.66	6.6
_D:	0	80	0.232063	153	46	0.610017	37.6217	6.38	6.31
_D:	0	81	0.271925	180	48	0.653915	37.668	6.48	6.38
_D:	0	82	0.267104	176	45	0.612816	37.7298	6.43	6.33
_D:	0	83	0.270795	182	50	0.682481	37.8543	6.43	6.35
_D:	0	84	0.282622	191	38	0.522061	38.2033	6.31	6.22
_D:	0	85	0.251203	164	42	0.572467	37.6841	6.55	6.46
_D:	0	86	0.278676	183	44	0.600253	37.6607	6.63	6.55
_D:	0	87	0.270452	177	57	0.777487	38.1294	6.57	6.5
_D:	0	88	0.251156	167	48	0.644202	38.0751	6.28	6.19
_D:	0	89	0.273249	179	26	0.344168	37.804	6.53	6.44
_D:	0	90	0.287763	195	42	0.571588	38.0824	6.66	6.59
_D:	0	91	0.27333	175	35	0.475299	38.6825	6.5	6.42
_D:	0	92	0.253213	166	32	0.428363	38.1744	6.67	6.55
_D:	0	93	0.24064	165	50	0.65451	37.2988	6.44	6.39
_D:	0	94	0.252827	170	38	0.519737	37.7853	6.65	6.58
_D:	0	95	0.30339	189	53	0.728354	37.7941	6.56	6.49
_D:	0	96	0.248125	160	51	0.686917	38.1549	6.62	6.51
_D:	0	97	0.285751	190	46	0.614046	38.2403	6.52	6.44
_D:	0	98	0.290195	197	46	0.631012	38.0958	6.54	6.46
_D:	0	99	0.301212	204	38	0.504522	38.2795	6.63	6.54
_D:	0	100	0.325489	212	49	0.667788	38.9951	6.69	6.59
_D:	0	101	0.340063	223	48	0.650575	39.1812	6.55	6.48
_D:	0	102	0.269263	177	52	0.708528	38.2484	6.69	6.6
