_H:	|batch	|epoch	%avg_sse	%cnt_err	%sum_name_err	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr	%Ortho__Fm_Ortho_net_rel	%Ortho__Fm_Hidden_net_rel	%Hidden_Fm_Phon_net_rel	%Hidden_Fm_Ortho__net_rel	%Ortho__net_max	%Hidden_net_max	%Phon_net_max	%max_Hidden_act_avg	%max_Ortho__act_avg
_D:	0	0	14.1038	1006	1006	0	51.6511	226.98	225.73	0.642876	0.357124	0.476953	0.523047	0.507155	0.456712	0.57204	0.791831	0.257123
_D:	0	1	10.7152	952	943	0	51.3914	198.12	196.83	0.610947	0.389053	0.506313	0.493686	0.516846	0.532991	0.740866	0.878161	0.348673
_D:	0	2	9.18219	946	926	0	53.555	196.74	195.58	0.564889	0.435111	0.507296	0.492704	0.544341	0.566017	0.81666	0.876516	0.47821
_D:	0	3	8.03221	1066	1031	0	53.72	225.79	224.55	0.537992	0.462008	0.506537	0.493464	0.552376	0.571148	0.809785	0.862174	0.444075
_D:	0	4	7.6671	938	898	0	52.4421	201.48	200.4	0.527307	0.472693	0.508768	0.491232	0.552761	0.560619	0.764188	0.838754	0.419001
_D:	0	5	7.63616	1024	972	0	53.8606	225.94	224.57	0.526421	0.473579	0.507056	0.492945	0.548985	0.548694	0.699707	0.787669	0.336361
_D:	0	6	7.44246	985	926	0	53.1691	226.68	225.39	0.525039	0.474961	0.498267	0.501733	0.539386	0.541152	0.639294	0.641952	0.321716
_D:	0	7	7.17523	973	918	0	54.9921	232.54	231.28	0.541091	0.458909	0.495712	0.504288	0.526254	0.52094	0.55482	0.578107	0.293385
_D:	0	8	7.82774	938	898	0	55.9908	231.69	230.24	0.55022	0.44978	0.48603	0.51397	0.509725	0.507066	0.497573	0.493019	0.23552
_D:	0	9	7.99949	951	913	0	57.2883	243.48	241.84	0.558978	0.441022	0.475929	0.524071	0.497738	0.48498	0.437507	0.447215	0.231764
_D:	0	10	7.54108	929	899	0	57.7143	247.97	246.36	0.555667	0.444333	0.460234	0.539766	0.49018	0.468241	0.395667	0.367754	0.227626
_D:	0	11	8.03894	938	905	0	56.7901	245.58	244.22	0.549336	0.450664	0.456569	0.543431	0.490043	0.453205	0.385621	0.317912	0.205756
_D:	0	12	7.08933	887	850	0	56.925	231.05	229.7	0.543518	0.456482	0.454348	0.545652	0.486268	0.445861	0.384384	0.295547	0.214629
_D:	0	13	7.80078	919	888	0	55.9628	236.07	234.85	0.535415	0.464585	0.454738	0.545261	0.491902	0.435408	0.390445	0.368653	0.209488
_D:	0	14	6.64318	798	765	0	55.4732	217.97	216.24	0.525256	0.474744	0.45063	0.54937	0.484703	0.434745	0.397383	0.292215	0.212588
_D:	0	15	7.21237	831	798	0	55.5848	218.41	217.25	0.522966	0.477034	0.456245	0.543755	0.487206	0.43065	0.408254	0.305426	0.235714
_D:	0	16	6.79811	842	815	0	55.6263	223.06	221.66	0.523661	0.476339	0.463555	0.536444	0.489701	0.423991	0.407483	0.313868	0.217732
_D:	0	17	6.93131	882	848	0	56.2636	230.34	229.25	0.522676	0.477324	0.467356	0.532644	0.487102	0.421988	0.410062	0.337519	0.21731
_D:	0	18	6.21953	828	794	0	55.6888	222.58	221.26	0.522702	0.477298	0.468291	0.531709	0.484513	0.421988	0.408817	0.342493	0.213511
_D:	0	19	6.57457	794	756	0	54.9937	212.49	211.15	0.524496	0.475504	0.474101	0.525899	0.488758	0.417741	0.407625	0.300906	0.219128
_D:	0	20	6.91849	875	847	0	56.2524	234.84	233.61	0.522013	0.477987	0.477375	0.522625	0.489739	0.410832	0.408748	0.332374	0.225983
_D:	0	21	6.23463	839	807	0	55.1178	226.03	224.66	0.52246	0.47754	0.475776	0.524224	0.485824	0.408205	0.407108	0.348746	0.233642
_D:	0	22	6.13655	782	750	0	55.4433	215.87	214.7	0.523045	0.476955	0.472313	0.527687	0.484801	0.406445	0.405234	0.382137	0.207279
_D:	0	23	6.13	799	758	0	55.3509	215.95	214.64	0.521999	0.478001	0.47736	0.52264	0.48919	0.404996	0.411742	0.363621	0.227064
_D:	0	24	6.34817	797	763	0	56.4261	215.64	213.84	0.518472	0.481528	0.478748	0.521252	0.490834	0.40141	0.418655	0.362482	0.190993
_D:	0	25	5.6697	800	754	0	55.4315	218.47	217.21	0.521341	0.478659	0.476159	0.523841	0.485527	0.403362	0.415487	0.385616	0.210591
_D:	0	26	5.33014	743	689	0	56.5407	207.76	206.45	0.52017	0.47983	0.478041	0.521959	0.488246	0.400141	0.425321	0.42365	0.20357
_D:	0	27	5.43442	779	697	0	59.9135	209.39	208.07	0.518261	0.481739	0.47679	0.52321	0.489278	0.396964	0.430589	0.540951	0.248597
_D:	0	28	5.07256	791	689	0	63.5639	208.63	207.3	0.520256	0.479744	0.479212	0.520788	0.491508	0.402137	0.436665	0.652095	0.219976
_D:	0	29	4.91326	762	655	0	63.7673	204.54	203.08	0.520189	0.479811	0.481512	0.518488	0.493448	0.404027	0.44254	0.502733	0.219809
_D:	0	30	5.43288	844	743	0	64.0915	222.31	220.87	0.519071	0.480929	0.483049	0.516951	0.492032	0.40381	0.443607	0.464294	0.225308
_D:	0	31	4.78523	755	693	0	62.967	217.2	215.38	0.517963	0.482037	0.482738	0.517262	0.487569	0.405419	0.442061	0.470098	0.221692
_D:	0	32	4.75619	776	710	0	60.8537	219.71	218.33	0.519367	0.480633	0.486238	0.513762	0.488697	0.405135	0.441384	0.434213	0.213958
_D:	0	33	4.97281	727	679	0	57.8126	207.94	206.1	0.517523	0.482477	0.487164	0.512836	0.486106	0.406349	0.441242	0.416199	0.225915
_D:	0	34	4.937	768	721	0	54.4619	213.63	212.39	0.519531	0.480469	0.493983	0.506017	0.486225	0.406314	0.438193	0.422212	0.218203
_D:	0	35	4.9592	730	676	0	52.5133	202.13	200.98	0.519532	0.480468	0.499476	0.500524	0.485538	0.410253	0.439699	0.433879	0.197553
_D:	0	36	4.83087	745	695	0	51.5318	202.58	201.24	0.518101	0.481899	0.505897	0.494103	0.486733	0.415136	0.445723	0.578876	0.237635
_D:	0	37	4.93108	720	669	0	51.628	195.77	194.48	0.518757	0.481243	0.517419	0.482581	0.4911	0.417483	0.453306	0.604098	0.203245
_D:	0	38	5.17931	746	694	0	52.0597	200.53	199.41	0.514313	0.485687	0.523294	0.476706	0.489429	0.423328	0.458928	0.61687	0.221454
_D:	0	39	5.05981	766	720	0	51.4724	206.92	205.72	0.513673	0.486327	0.532138	0.467862	0.494208	0.426795	0.469954	0.641062	0.237416
_D:	0	40	4.00268	677	625	0	50.7317	195.68	194.64	0.510699	0.489301	0.53351	0.46649	0.489016	0.433848	0.494062	0.746615	0.234653
_D:	0	41	4.20717	615	567	0	50.2755	184.82	183.96	0.505272	0.494728	0.529268	0.470732	0.488373	0.437575	0.514455	0.675445	0.257792
_D:	0	42	4.01591	629	576	0	49.8494	185.01	183.8	0.508649	0.491351	0.533693	0.466307	0.490663	0.437501	0.527012	0.656641	0.22597
_D:	0	43	3.76792	614	550	0	48.0316	185.1	184.13	0.507932	0.492068	0.53383	0.46617	0.490848	0.439602	0.542679	0.636215	0.221914
_D:	0	44	3.71216	629	571	0	48.5444	193.98	192.97	0.50866	0.49134	0.534257	0.465743	0.491014	0.440289	0.545951	0.650244	0.252292
_D:	0	45	3.66514	620	568	0	48.2975	190.17	189.16	0.506756	0.493244	0.529034	0.470967	0.489337	0.442804	0.552913	0.621831	0.262927
_D:	0	46	3.74146	594	558	0	48.5261	185.29	184.33	0.508817	0.491183	0.526671	0.473329	0.485317	0.440142	0.544387	0.588857	0.231804
_D:	0	47	3.86612	627	573	0	48.6735	194.78	193.54	0.506467	0.493533	0.521985	0.478015	0.485287	0.437323	0.543113	0.612372	0.211008
_D:	0	48	3.64576	582	542	0	48.2256	191.81	190.73	0.506931	0.493069	0.523477	0.476523	0.484127	0.435042	0.535254	0.504454	0.2761
_D:	0	49	3.60033	596	547	0	47.4086	198.12	196.91	0.511148	0.488852	0.525852	0.474148	0.483218	0.433261	0.521597	0.542385	0.2144
_D:	0	50	3.3375	557	504	0	47.0421	192.67	191.56	0.509619	0.490381	0.521079	0.478921	0.479867	0.434417	0.51713	0.513787	0.212073
_D:	0	51	3.597	591	554	0	47.9522	194.99	193.83	0.512364	0.487636	0.522694	0.477306	0.480779	0.43091	0.508668	0.501807	0.210212
_D:	0	52	3.56263	580	542	0	47.9641	194.28	193.04	0.516893	0.483107	0.522094	0.477906	0.478774	0.429542	0.498243	0.509257	0.231172
_D:	0	53	3.35203	522	493	0	46.9245	190.49	189.28	0.51532	0.48468	0.521299	0.478701	0.475768	0.427034	0.496958	0.506676	0.244654
_D:	0	54	3.69735	577	552	0	48.2045	189.55	188.38	0.515832	0.484168	0.523837	0.476163	0.478727	0.422254	0.496363	0.546448	0.221482
_D:	0	55	3.40753	576	531	0	47.9502	193.96	192.78	0.51598	0.48402	0.520107	0.479893	0.474374	0.42453	0.490077	0.484611	0.224747
_D:	0	56	3.00491	552	501	0	47.2167	191.93	190.72	0.516713	0.483288	0.519295	0.480705	0.472711	0.421473	0.484831	0.518806	0.224727
_D:	0	57	2.79056	492	457	0	45.7762	188.29	187.1	0.518303	0.481697	0.516669	0.483331	0.465874	0.422796	0.479388	0.538738	0.234584
_D:	0	58	3.22069	538	504	0	47.7583	189.21	188.08	0.520247	0.479753	0.523955	0.476045	0.473779	0.417083	0.483394	0.516157	0.213425
_D:	0	59	3.27194	537	510	0	47.2495	190.61	189.43	0.52127	0.47873	0.52207	0.47793	0.469754	0.416146	0.480771	0.526935	0.206301
_D:	0	60	3.06082	506	478	0	46.9803	182.46	181.09	0.522854	0.477146	0.523523	0.476477	0.470189	0.412967	0.480058	0.520403	0.234778
_D:	0	61	3.28214	543	509	0	47.6992	185.34	184.25	0.523928	0.476072	0.52138	0.47862	0.466788	0.414131	0.476077	0.503459	0.207657
_D:	0	62	2.84884	496	453	0	47.2288	192.41	191.21	0.523373	0.476627	0.519512	0.480488	0.464653	0.412122	0.474229	0.526528	0.22315
_D:	0	63	2.82304	493	463	0	47.0997	184.2	183.1	0.525297	0.474703	0.523009	0.476991	0.46845	0.4087	0.478071	0.501211	0.218026
_D:	0	64	2.83207	501	461	0	46.7772	190.73	189.59	0.52225	0.477751	0.520953	0.479046	0.462737	0.410963	0.475301	0.527544	0.226078
_D:	0	65	2.84842	450	413	0	46.8204	179.69	178.55	0.524676	0.475324	0.521322	0.478678	0.45898	0.411691	0.469728	0.510868	0.232693
_D:	0	66	2.76264	456	428	0	46.9635	178.75	177.76	0.524753	0.475247	0.520414	0.479586	0.459107	0.409205	0.467226	0.526034	0.219
_D:	0	67	2.76203	493	463	0	46.6977	188.6	187.53	0.525422	0.474578	0.520663	0.479337	0.461053	0.407697	0.470025	0.538687	0.217204
_D:	0	68	2.81809	458	422	0	47.154	176.4	175.22	0.522473	0.477527	0.52121	0.47879	0.45938	0.405654	0.470571	0.54336	0.196649
_D:	0	69	2.76595	449	418	0	46.7939	170.97	169.85	0.522654	0.477346	0.520161	0.479839	0.456976	0.403464	0.468131	0.529498	0.214465
_D:	0	70	2.6839	460	423	0	47.5783	181.34	180.29	0.524006	0.475993	0.521151	0.478849	0.459339	0.399155	0.466851	0.543412	0.217936
