_H:	|batch	|epoch	%avg_sse	%cnt_err	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr
_D:	0	0	1.63416	96	0	53.14	3.23	3
_D:	0	1	1.56115	94	0	50.83	2.89	2.71
_D:	0	2	1.53866	90	0	50.98	3.03	2.83
_D:	0	3	1.4016	85	0	53.26	3.04	2.85
_D:	0	4	1.37168	79	0	52.5	2.96	2.76
_D:	0	5	1.45706	88	0	54.27	3.04	2.85
_D:	0	6	1.36439	81	0	54.89	3.01	2.81
_D:	0	7	1.16754	70	0	54.06	2.94	2.74
_D:	0	8	1.16934	68	0	53.95	2.87	2.67
_D:	0	9	0.991139	58	0	53.31	2.83	2.65
_D:	0	10	0.886269	52	0	53.17	2.84	2.66
_D:	0	11	0.930754	54	0	53.24	3	2.79
_D:	0	12	0.971399	58	0	53.17	2.99	2.78
_D:	0	13	0.959935	55	0	52.43	2.93	2.74
_D:	0	14	0.836537	48	0	52.69	2.94	2.76
_D:	0	15	0.611456	34	0	52.64	3.2	2.93
_D:	0	16	0.754341	44	0	52.11	2.9	2.72
_D:	0	17	0.4575	28	0	51.63	2.88	2.7
_D:	0	18	0.576317	34	0	52.93	3.01	2.79
_D:	0	19	0.610047	36	0	51.66	3.11	2.85
_D:	0	20	0.817539	44	0	53.41	2.88	2.71
_D:	0	21	0.484586	28	0	52.78	2.84	2.67
_D:	0	22	0.699456	40	0	53.27	2.92	2.73
_D:	0	23	0.376307	22	0	51.81	3.36	2.97
_D:	0	24	0.313643	18	0	51.55	2.94	2.74
_D:	0	25	0.432768	23	0	52.07	2.9	2.7
_D:	0	26	0.400411	23	0	51.41	3.1	2.81
_D:	0	27	0.289028	16	0	51.48	2.83	2.66
_D:	0	28	0.229423	13	0	51.5	2.82	2.65
_D:	0	29	0.284451	16	0	51.63	2.83	2.65
_D:	0	30	0.285396	16	0	51.89	2.82	2.64
_D:	0	31	0.281328	15	0	51.85	2.84	2.66
_D:	0	32	0.409134	22	0	52.65	2.89	2.7
_D:	0	33	0.234887	13	0	52.09	3.09	2.85
_D:	0	34	0.290573	16	0	51.76	3.23	2.94
_D:	0	35	0.242581	14	0	51.91	2.96	2.75
_D:	0	36	0.127812	7	0	51.19	3.09	2.84
_D:	0	37	0.0922317	5	0	51.32	2.94	2.73
_D:	0	38	0.182494	10	0	52.36	2.86	2.67
_D:	0	39	0.140936	8	0	51.77	2.84	2.66
_D:	0	40	0.0370741	2	0	51.11	2.82	2.64
_D:	0	41	0	0	0	50.92	3.06	2.81
_D:	0	0	1.62383	98	0	52.52	3.01	2.79
_D:	0	1	1.48356	89	0	50.7	2.89	2.65
_D:	0	2	1.58826	93	0	52.7	3.1	2.83
_D:	0	3	1.52673	91	0	53.22	2.84	2.65
_D:	0	4	1.39319	82	0	54.36	2.84	2.66
_D:	0	5	1.29509	77	0	52.9	2.76	2.58
_D:	0	6	1.23922	70	0	53.3	2.76	2.58
_D:	0	7	1.08141	64	0	53.94	2.77	2.58
_D:	0	8	1.1503	65	0	52.64	2.72	2.54
_D:	0	9	1.06817	64	0	53.49	2.77	2.59
_D:	0	10	0.935934	58	0	52.38	2.69	2.51
