_H:	|batch	|epoch	%avg_sse	%cnt_err	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr	%fsa_err_sum
_D:	3	0	0.960609	99	0	58.247	7.42	7.25	55
_D:	3	1	0.819129	80	0	56.747	7.12	6.94	21
_D:	3	2	0.929834	102	0	55.6	8.01	7.87	27
_D:	3	3	0.890568	95	0	54.0474	7.53	7.4	28
_D:	3	4	1.0358	103	0	53.6236	7.24	7.14	26
_D:	3	5	0.851569	84	0	54.0337	7.06	6.96	17
_D:	3	6	0.898531	101	0	52.5941	8.03	7.9	18
_D:	3	7	0.871753	98	0	52.6485	7.73	7.61	17
_D:	3	8	0.829315	85	0	52.2198	7.09	6.97	6
_D:	3	9	0.809665	82	0	52.7527	6.86	6.73	3
_D:	3	10	0.937308	90	0	50.1353	6.44	6.37	3
_D:	3	11	0.70098	67	0	51.2941	6.24	6.1	0
_D:	3	12	0.851224	85	0	48.7303	6.49	6.38	2
_D:	3	13	0.796345	80	0	48.8371	6.25	6.13	0
_D:	3	14	0.771356	74	0	48.0888	6.19	6.11	3
_D:	3	15	0.841919	79	0	46.8343	5.85	5.72	1
_D:	3	16	0.779988	72	0	47.439	5.79	5.66	2
_D:	3	17	0.817933	74	0	46.2805	5.53	5.43	0
_D:	3	18	0.742465	67	0	45.184	5.51	5.45	3
_D:	3	19	0.772994	72	0	44.9448	5.34	5.22	3
_D:	3	20	0.708996	86	0	46.0362	7.6	7.47	3
_D:	3	21	0.752639	93	0	42.8733	6.74	6.62	4
_D:	3	22	0.873905	79	0	44.2	5.46	5.36	4
_D:	3	23	0.900805	82	0	44.6606	5.4	5.33	2
_D:	3	24	0.820697	76	0	43.3728	5.31	5.2	7
_D:	3	25	0.863426	82	0	42.6272	5.11	5.01	7
_D:	3	26	0.920895	90	0	42.0169	5.65	5.57	4
_D:	3	27	0.838672	82	0	43.1685	5.48	5.38	3
_D:	3	28	0.750858	65	0	44.2911	5.28	5.17	3
_D:	3	29	0.74164	65	0	42.424	4.87	4.76	2
_D:	3	30	0.884243	98	0	44.549	6.63	6.53	6
_D:	3	31	0.831028	96	0	43.0686	6.13	5.99	4
_D:	3	32	0.884217	96	0	41.3385	5.84	5.74	6
_D:	3	33	0.725928	78	0	41.2396	5.55	5.4	4
_D:	3	34	0.86811	96	0	40.2935	5.86	5.71	4
_D:	3	35	0.894504	99	0	40.6269	5.74	5.61	3
_D:	3	36	0.730728	65	0	40.7485	4.74	4.65	4
_D:	3	37	0.810502	72	0	40.7607	4.62	4.55	5
_D:	3	38	0.792015	73	0	35.8333	4.4	4.31	4
_D:	3	39	0.67989	63	0	36.7381	4.32	4.25	1
_D:	3	40	0.819243	64	0	38.7343	4.13	4.08	4
_D:	3	41	0.782464	61	0	40.028	3.98	3.89	4
_D:	3	42	0.73457	60	0	38.6779	4.2	4.09	3
_D:	3	43	0.713681	60	0	38.557	4.04	3.97	2
_D:	3	44	0.695675	62	0	40.1646	4.77	4.7	4
_D:	3	45	0.78558	70	0	38.5427	4.55	4.47	4
_D:	3	46	0.83194	80	0	38.56	5	4.94	6
_D:	3	47	0.759517	73	0	41.4057	4.92	4.81	4
_D:	3	48	0.825889	83	0	41.6703	5.56	5.48	3
_D:	3	49	0.758715	76	0	42.2473	5.29	5.21	6
_D:	3	50	0.89475	87	0	41.0578	5.12	5.05	7
_D:	3	51	0.896921	85	0	40.8613	4.97	4.85	4
_D:	3	52	0.822376	74	0	38.1258	4.43	4.36	3
_D:	3	53	0.847336	76	0	37.8365	4.24	4.16	6
_D:	3	54	0.779109	79	0	41.5879	5.4	5.28	7
_D:	3	55	0.738403	74	0	40.0549	5.06	4.98	6
_D:	3	56	0.725099	73	0	39.5028	5.23	5.13	5
_D:	3	57	0.81821	82	0	37.2541	4.81	4.72	2
_D:	3	58	0.740464	68	0	40.1807	4.62	4.49	6
_D:	3	59	0.76304	71	0	37.0301	4.25	4.19	3
_D:	3	60	0.699955	59	0	39.3013	4.47	4.38	3
_D:	3	61	0.766865	66	0	39.3333	4.34	4.28	4
_D:	3	62	0.891149	81	0	39.1976	4.83	4.72	3
_D:	3	63	0.867046	80	0	39.509	4.64	4.58	3
_D:	3	64	0.709893	72	0	37.3923	4.99	4.9	5
_D:	3	65	0.692046	68	0	35.7514	4.55	4.49	3
_D:	3	66	0.899565	78	0	38.1069	4.48	4.41	4
_D:	3	67	0.703504	63	0	36.3962	4.08	4.02	1
_D:	3	68	0.667265	63	0	37.0947	4.58	4.48	2
_D:	3	69	0.774426	72	0	38.8106	4.51	4.44	4
_D:	3	70	0.835246	69	0	37.6824	3.89	3.84	4
_D:	3	71	0.688491	56	0	32.9392	3.48	3.45	0
_D:	3	72	0.84786	79	0	39.1176	4.86	4.75	8
_D:	3	73	0.814265	77	0	38	4.52	4.43	4
_D:	3	74	0.788264	75	0	37.2	4.72	4.67	4
_D:	3	75	0.732304	70	0	36.3314	4.45	4.37	3
_D:	3	76	0.820639	83	0	36.7541	4.93	4.86	7
_D:	3	77	0.760397	77	0	34.4208	4.66	4.61	7
_D:	3	78	0.727386	67	0	35.8855	4.34	4.23	3
_D:	3	79	0.870109	79	0	38.9819	4.4	4.34	5
_D:	3	80	0.810049	71	0	35.0839	3.95	3.89	5
_D:	3	81	0.691989	59	0	34.2516	3.69	3.63	0
