_H:	|batch	|epoch	%avg_sse	%cnt_err	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr
_D:	0	90	0.374453	20	0	27.71	8.85	8.66
_D:	0	91	0.0364944	2	0	27.17	3.78	3.77
_D:	0	92	0.0930691	5	0	27.13	3.77	3.75
_D:	0	93	0.0750961	4	0	27.38	3.87	3.84
_D:	0	94	0.110351	6	0	27.61	4	3.95
_D:	0	95	0.0937139	5	0	27.07	3.75	3.73
_D:	0	96	0.0378326	2	0	26.7	3.72	3.7
_D:	0	97	0.0188641	1	0	26.9	3.73	3.71
_D:	0	98	0.0372197	2	0	26.69	3.71	3.7
_D:	0	99	0.0365295	2	0	26.99	3.71	3.69
_D:	0	100	0.0190479	1	0	26.85	3.7	3.69
_D:	0	101	0.130685	7	0	27.04	3.71	3.7
_D:	0	102	0.0190518	1	0	26.77	3.69	3.68
_D:	0	103	0.0187514	1	0	26.77	3.72	3.71
_D:	0	104	0	0	0	27.04	3.72	3.71
_D:	0	105	0.0373995	2	0	26.93	3.7	3.69
_D:	0	106	0.0368801	2	0	26.67	3.71	3.69
_D:	0	107	0.0373804	2	0	26.77	3.71	3.7
_D:	0	108	0.0374967	2	0	26.57	3.7	3.69
_D:	0	109	0.0371149	2	0	26.75	3.71	3.69
_D:	0	110	0.0181976	1	0	26.89	3.71	3.71
_D:	0	111	0	0	0	26.6	3.73	3.71
_D:	0	112	0	0	0	26.96	3.73	3.71
_D:	0	113	0.0373081	2	0	26.94	3.83	3.8
_D:	0	114	0.0182517	1	0	26.6	3.86	3.85
_D:	0	115	0.0561075	3	0	26.65	3.87	3.77
_D:	0	116	0.0554447	3	0	27.08	3.84	3.79
_D:	0	117	0.0373281	2	0	27.15	3.71	3.69
_D:	0	118	0.0184113	1	0	26.64	3.71	3.7
_D:	0	119	0.0371109	2	0	27.07	3.75	3.73
_D:	0	120	0.05613	3	0	26.8	3.72	3.72
_D:	0	121	0.037206	2	0	26.76	3.72	3.71
_D:	0	122	0.0190348	1	0	26.69	3.73	3.72
_D:	0	123	0.03655	2	0	27.04	3.74	3.73
_D:	0	124	0.018942	1	0	26.94	3.77	3.75
_D:	0	125	0.0372521	2	0	27.21	3.86	3.79
_D:	0	126	0.0739683	4	0	26.9	3.87	3.77
_D:	0	127	0.0366188	2	0	27.14	3.91	3.81
_D:	0	128	0.036837	2	0	26.74	4.19	3.85
_D:	0	129	0.0369644	2	0	27	3.76	3.72
_D:	0	130	0.0561196	3	0	27.21	3.76	3.71
_D:	0	131	0.0377131	2	0	26.59	3.76	3.71
_D:	0	132	0.036995	2	0	27.08	3.79	3.75
_D:	0	133	0	0	0	26.64	3.73	3.7
_D:	0	134	0.0180386	1	0	26.76	3.76	3.71
_D:	0	135	0.0372638	2	0	26.76	3.73	3.7
_D:	0	136	0.0189771	1	0	26.74	3.74	3.7
_D:	0	137	0	0	0	26.68	3.68	3.68
_D:	0	138	0.0190669	1	0	26.73	3.69	3.67
_D:	0	139	0.0371202	2	0	26.65	3.78	3.73
_D:	0	140	0.0785762	5	0	26.84	3.7	3.69
_D:	0	141	0.0183169	1	0	26.58	3.68	3.68
_D:	0	142	0.037082	2	0	26.8	3.7	3.69
_D:	0	143	0.0185319	1	0	26.62	3.71	3.69
_D:	0	144	0.019031	1	0	26.89	3.74	3.74
_D:	0	145	0.0186509	1	0	27.03	3.76	3.73
_D:	0	146	0.0186491	1	0	26.89	4.12	3.99
_D:	0	147	0.0428019	3	0	26.89	3.71	3.7
_D:	0	148	0.0378612	2	0	26.62	3.68	3.66
_D:	0	149	0.0183557	1	0	26.45	3.67	3.66
