_H:	|batch	|epoch	%avg_sse	%cnt_err	%avg_ext_rew	%avg_cycles	%Leabra_cur_lrate	%epoch_time_tot	%epoch_time_usr	%I_da	%S_da	%R_da	%S_I_diff
_D:	0	0	0.523972	35	0.37037	41.3	0.01	0	0	-0.0383302	0.0658019	-0.0832854	0.104132
_D:	0	1	0.283809	17	0.416667	37.81	0.01	0	0	-0.0961886	0.162908	-0.055869	0.259096
_D:	0	2	0.144953	10	0.615385	37.27	0.01	0	0	-0.0517836	0.0661719	0.0467838	0.117955
_D:	0	3	0.180653	11	0.541667	36.62	0.01	0	0	0.00693411	0.00848888	0.0272761	0.00155478
_D:	0	4	0.23826	15	0.4	37	0.01	0	0	-0.0374921	0.0778708	-0.136139	0.115363
_D:	0	5	0.154037	9	0.608696	36.25	0.01	0	0	-0.056928	0.153652	0.0669655	0.21058
_D:	0	6	0.191911	12	0.571429	36.25	0.01	0	0	-0.0124179	0.0465913	-0.0185209	0.0590093
_D:	0	7	0.247683	15	0.464286	35.88	0.01	0	0	-0.055376	0.142962	-0.0574415	0.198338
_D:	0	8	0.144685	8	0.703704	35.26	0.01	0	0	0.0280597	0.0816505	0.055566	0.0535908
_D:	0	9	0.0327795	2	0.916667	35.25	0.01	0	0	0.0428899	0.126929	0.124106	0.0840395
_D:	0	10	0.0438764	5	0.851852	36.25	0.001	0	0	0.0549609	0.109219	-0.0136394	0.0542579
_D:	0	11	0.0730452	4	0.84	35	0.001	0	0	-0.0409319	0.268218	0.011379	0.30915
_D:	0	12	0.0914933	5	0.8	35	0.001	0	0	-0.0271807	0.280205	0.010344	0.307385
_D:	0	13	0.0351683	2	0.923077	35.25	0.001	0	0	-0.0150012	0.297174	0.0714111	0.312176
_D:	0	14	0.072388	4	0.866667	35.11	0.001	0	0	-0.0885501	0.322332	-0.0061933	0.410882
_D:	0	15	0.0193311	1	0.96	35	0.001	0	0	-0.00588513	0.328925	0.0798475	0.33481
_D:	0	16	0.0184068	1	0.96	35	0.001	0	0	0.0523063	0.215248	0.0377664	0.162941
_D:	0	17	0.0183913	1	0.956522	35	0.001	0	0	0.0290088	0.261325	0.0292798	0.232317
_D:	0	18	0	0	1	35.25	0.001	0	0	0.0531765	0.224702	0.0717124	0.171526
_D:	0	19	0.036556	2	0.913043	35.55	0.001	0	0	0.027996	0.206914	-0.0103029	0.178918
_D:	0	20	0	0	1	35.06	0.001	0	0	0.0506822	0.195586	0.0738657	0.144904
_D:	0	21	0.0464084	3	0.884615	36.49	0.001	0	0	-0.0540423	0.283542	-0.0190756	0.337585
_D:	0	22	0.0356179	2	0.909091	35.5	0.001	0	0	0.0196348	0.205147	0.00487967	0.185512
_D:	0	23	0	0	1	35	0.001	0	0	0.0712468	0.156539	0.0847503	0.0852917
_D:	0	24	0	0	1	35	0.001	0	0	0.0575015	0.134165	0.0806709	0.0766633
_D:	0	25	0	0	1	35	0.001	0	0	0.0703796	0.167833	0.0780664	0.0974535
