Time,Channel A,Channel B
(ms),(mV),(V)

-10.01361292,-112.07920000,-6.17938800
-10.00721292,-103.10680000,-6.17938800
-10.00081292,-98.63582000,-6.17938800
-9.99441292,-89.66338000,-6.17938800
-9.98801292,-85.17715000,-6.17938800
-9.98161292,-80.70620000,-6.17938800
-9.97521292,-80.70620000,-6.17938800
-9.96881292,-71.73376000,-6.17938800
-9.96241292,-71.73376000,-6.17938800
-9.95601292,-67.24753000,-6.17938800
-9.94961292,-71.73376000,-6.17938800
-9.94321292,-76.21997000,-6.17938800
-9.93681292,-89.66338000,-6.17938800
-9.93041292,-98.63582000,-6.17938800
-9.92401292,-107.59300000,-6.17938800
-9.91761292,-116.55020000,-6.17938800
-9.91121292,-121.03640000,-6.17938800
-9.90481293,-125.52260000,-6.17938800
-9.89841293,-130.00880000,-6.17938800
-9.89201293,-134.47980000,-6.17938800
-9.88561293,-130.00880000,-6.17938800
-9.87921293,-125.52260000,-6.17938800
-9.87281293,-121.03640000,-6.17938800
-9.86641293,-121.03640000,-6.17938800
-9.86001293,-116.55020000,-6.17938800
-9.85361293,-116.55020000,-6.17938800
-9.84721293,-112.07920000,-6.17938800
-9.84081293,-112.07920000,-6.17938800
-9.83441293,-107.59300000,-6.17938800
-9.82801293,-103.10680000,-6.17938800
-9.82161293,-103.10680000,-6.17938800
-9.81521293,-103.10680000,-6.17938800
-9.80881293,-112.07920000,-6.17938800
-9.80241293,-112.07920000,-6.17938800
-9.79601293,-107.59300000,-6.17938800
-9.78961293,-98.63582000,-6.17938800
-9.78321293,-94.14960000,-6.17938800
-9.77681293,-85.17715000,-6.17938800
-9.77041293,-89.66338000,-6.17938800
-9.76401293,-85.17715000,-6.17938800
-9.75761293,-85.17715000,-6.17938800
-9.75121293,-85.17715000,-6.17938800
-9.74481293,-76.21997000,-6.17938800
-9.73841293,-71.73376000,-6.17938800
-9.73201294,-67.24753000,-6.17938800
-9.72561294,-67.24753000,-6.17938800
-9.71921294,-53.80413000,-6.17938800
-9.71281294,-44.84695000,-6.17938800
-9.70641294,-22.43110000,-6.08935800
-9.70001294,-8.98770000,-6.17938800
-9.69361294,4.45570200,-6.08935800
-9.68721294,4.45570200,-6.17938800
-9.68081294,8.94192300,-6.08935800
-9.67441294,4.45570200,-6.17938800
-9.66801294,-0.01525925,-6.17938800
-9.66161294,-4.50148000,-6.17938800
-9.65521294,-17.94488000,-6.08935800
-9.64881294,-35.87451000,-6.17938800
-9.64241294,-53.80413000,-6.17938800
-9.63601294,-71.73376000,-6.17938800
-9.62961294,-89.66338000,-6.08935800
-9.62321294,-103.10680000,-6.17938800
-9.61681294,-116.55020000,-6.08935800
-9.61041294,-130.00880000,-6.17938800
-9.60401294,-147.93850000,-6.08935800
-9.59761294,-156.89560000,-6.17938800
-9.59121294,-165.86810000,-6.08935800
-9.58481294,-174.82530000,-6.17938800
-9.57841294,-179.31150000,-6.08935800
-9.57201294,-179.31150000,-6.08935800
-9.56561295,-179.31150000,-6.08935800
-9.55921295,-170.33910000,-6.08935800
-9.55281295,-152.40940000,-6.08935800
-9.54641295,-134.47980000,-6.08935800
-9.54001295,-112.07920000,-6.08935800
-9.53361295,-103.10680000,-6.17938800
-9.52721295,-85.17715000,-6.08935800
-9.52081295,-85.17715000,-6.08935800
-9.51441295,-76.21997000,-6.08935800
-9.50801295,-80.70620000,-6.08935800
-9.50161295,-85.17715000,-6.08935800
-9.49521295,-89.66338000,-6.08935800
-9.48881295,-98.63582000,-6.08935800
-9.48241295,-107.59300000,-6.08935800
-9.47601295,-116.55020000,-6.08935800
-9.46961295,-125.52260000,-6.08935800
-9.46321295,-130.00880000,-6.08935800
-9.45681295,-121.03640000,-6.08935800
-9.45041295,-121.03640000,-6.17938800
-9.44401295,-107.59300000,-6.08935800
-9.43761295,-103.10680000,-6.08935800
-9.43121295,-89.66338000,-6.08935800
-9.42481295,-85.17715000,-6.08935800
-9.41841295,-71.73376000,-6.08935800
-9.41201295,-67.24753000,-6.08935800
-9.40561295,-62.77657000,-6.08935800
-9.39921296,-62.77657000,-6.08935800
-9.39281296,-62.77657000,-6.08935800
-9.38641296,-62.77657000,-6.08935800
-9.38001296,-62.77657000,-6.08935800
-9.37361296,-62.77657000,-6.08935800
-9.36721296,-67.24753000,-6.08935800
-9.36081296,-71.73376000,-6.08935800
-9.35441296,-80.70620000,-6.08935800
-9.34801296,-80.70620000,-6.08935800
-9.34161296,-76.21997000,-6.08935800
-9.33521296,-76.21997000,-6.08935800
-9.32881296,-71.73376000,-6.08935800
-9.32241296,-67.24753000,-6.08935800
-9.31601296,-71.73376000,-6.17938800
-9.30961296,-71.73376000,-6.08935800
-9.30321296,-71.73376000,-6.08935800
-9.29681296,-71.73376000,-6.08935800
-9.29041296,-67.24753000,-6.08935800
-9.28401296,-71.73376000,-6.08935800
-9.27761296,-76.21997000,-6.08935800
-9.27121296,-85.17715000,-6.08935800
-9.26481296,-85.17715000,-6.08935800
-9.25841296,-85.17715000,-6.08935800
-9.25201296,-85.17715000,-6.08935800
-9.24561296,-89.66338000,-6.08935800
-9.23921296,-94.14960000,-6.08935800
-9.23281296,-112.07920000,-6.08935800
-9.22641297,-121.03640000,-6.08935800
-9.22001297,-138.96600000,-6.08935800
-9.21361297,-147.93850000,-6.08935800
-9.20721297,-147.93850000,-5.99902300
-9.20081297,-156.89560000,-6.08935800
-9.19441297,-152.40940000,-6.08935800
-9.18801297,-161.38190000,-6.08935800
-9.18161297,-161.38190000,-6.08935800
-9.17521297,-156.89560000,-6.08935800
-9.16881297,-147.93850000,-6.08935800
-9.16241297,-138.96600000,-6.08935800
-9.15601297,-125.52260000,-6.08935800
-9.14961297,-116.55020000,-6.08935800
-9.14321297,-107.59300000,-5.99902300
-9.13681297,-98.63582000,-6.08935800
-9.13041297,-89.66338000,-5.99902300
-9.12401297,-85.17715000,-6.08935800
-9.11761297,-80.70620000,-6.08935800
-9.11121297,-80.70620000,-6.08935800
-9.10481297,-94.14960000,-6.08935800
-9.09841297,-98.63582000,-6.08935800
-9.09201297,-107.59300000,-5.99902300
-9.08561297,-121.03640000,-5.99902300
-9.07921297,-134.47980000,-5.99902300
-9.07281297,-143.45230000,-6.08935800
-9.06641297,-156.89560000,-6.08935800
-9.06001298,-161.38190000,-6.08935800
