Time,Channel A,Channel B
(ms),(mV),(V)

-10.01155190,4.45570200,-6.17938800
-10.00515190,4.45570200,-6.17938800
-9.99875190,8.94192300,-6.08935800
-9.99235190,8.94192300,-6.08935800
-9.98595190,4.45570200,-6.17938800
-9.97955190,-4.50148000,-6.08935800
-9.97315190,-4.50148000,-6.17938800
-9.96675190,4.45570200,-6.17938800
-9.96035190,4.45570200,-6.17938800
-9.95395191,-4.50148000,-6.17938800
-9.94755191,-4.50148000,-6.17938800
-9.94115191,-0.01525925,-6.17938800
-9.93475191,-0.01525925,-6.17938800
-9.92835191,-4.50148000,-6.17938800
-9.92195191,-0.01525925,-6.17938800
-9.91555191,4.45570200,-6.17938800
-9.90915191,13.42814000,-6.17938800
-9.90275191,13.42814000,-6.17938800
-9.89635191,8.94192300,-6.17938800
-9.88995191,8.94192300,-6.08935800
-9.88355191,13.42814000,-6.17938800
-9.87715191,13.42814000,-6.17938800
-9.87075191,4.45570200,-6.17938800
-9.86435191,4.45570200,-6.17938800
-9.85795191,4.45570200,-6.17938800
-9.85155191,4.45570200,-6.17938800
-9.84515191,-0.01525925,-6.17938800
-9.83875191,-4.50148000,-6.17938800
-9.83235191,-4.50148000,-6.17938800
-9.82595191,4.45570200,-6.17938800
-9.81955191,-0.01525925,-6.17938800
-9.81315191,-4.50148000,-6.17938800
-9.80675191,-4.50148000,-6.17938800
-9.80035191,4.45570200,-6.17938800
-9.79395191,4.45570200,-6.17938800
-9.78755191,-0.01525925,-6.17938800
-9.78115192,-0.01525925,-6.17938800
-9.77475192,4.45570200,-6.17938800
-9.76835192,4.45570200,-6.17938800
-9.76195192,4.45570200,-6.17938800
-9.75555192,-0.01525925,-6.17938800
-9.74915192,4.45570200,-6.17938800
-9.74275192,8.94192300,-6.17938800
-9.73635192,8.94192300,-6.17938800
-9.72995192,-0.01525925,-6.17938800
-9.72355192,4.45570200,-6.17938800
-9.71715192,8.94192300,-6.17938800
-9.71075192,13.42814000,-6.17938800
-9.70435192,8.94192300,-6.17938800
-9.69795192,8.94192300,-6.17938800
-9.69155192,13.42814000,-6.17938800
-9.68515192,13.42814000,-6.17938800
-9.67875192,13.42814000,-6.17938800
-9.67235192,4.45570200,-6.17938800
-9.66595192,4.45570200,-6.17938800
-9.65955192,4.45570200,-6.08935800
-9.65315192,4.45570200,-6.17938800
-9.64675192,4.45570200,-6.17938800
-9.64035192,-0.01525925,-6.17938800
-9.63395192,4.45570200,-6.17938800
-9.62755192,8.94192300,-6.17938800
-9.62115192,4.45570200,-6.17938800
-9.61475193,-4.50148000,-6.17938800
-9.60835193,-0.01525925,-6.17938800
-9.60195193,4.45570200,-6.17938800
-9.59555193,8.94192300,-6.17938800
-9.58915193,-0.01525925,-6.08935800
-9.58275193,4.45570200,-6.17938800
-9.57635193,8.94192300,-6.17938800
-9.56995193,13.42814000,-6.17938800
-9.56355193,13.42814000,-6.17938800
-9.55715193,8.94192300,-6.08935800
-9.55075193,13.42814000,-6.17938800
-9.54435193,17.91437000,-6.17938800
-9.53795193,13.42814000,-6.08935800
-9.53155193,8.94192300,-6.17938800
-9.52515193,4.45570200,-6.17938800
-9.51875193,8.94192300,-6.17938800
-9.51235193,8.94192300,-6.17938800
-9.50595193,-0.01525925,-6.17938800
-9.49955193,-0.01525925,-6.17938800
-9.49315193,4.45570200,-6.08935800
-9.48675193,8.94192300,-6.08935800
-9.48035193,8.94192300,-6.17938800
-9.47395193,4.45570200,-6.17938800
-9.46755193,8.94192300,-6.17938800
-9.46115193,13.42814000,-6.17938800
-9.45475193,8.94192300,-6.17938800
-9.44835194,4.45570200,-6.17938800
-9.44195194,4.45570200,-6.08935800
-9.43555194,4.45570200,-6.08935800
-9.42915194,4.45570200,-6.17938800
-9.42275194,4.45570200,-6.08935800
-9.41635194,-0.01525925,-6.17938800
-9.40995194,4.45570200,-6.08935800
-9.40355194,8.94192300,-6.08935800
-9.39715194,8.94192300,-6.17938800
-9.39075194,4.45570200,-6.17938800
-9.38435194,8.94192300,-6.17938800
-9.37795194,13.42814000,-6.17938800
-9.37155194,13.42814000,-6.08935800
-9.36515194,8.94192300,-6.17938800
-9.35875194,8.94192300,-6.17938800
-9.35235194,13.42814000,-6.17938800
-9.34595194,13.42814000,-6.17938800
-9.33955194,8.94192300,-6.17938800
-9.33315194,4.45570200,-6.17938800
-9.32675194,4.45570200,-6.08935800
-9.32035194,13.42814000,-6.17938800
-9.31395194,8.94192300,-6.08935800
-9.30755194,-0.01525925,-6.17938800
-9.30115194,-0.01525925,-6.08935800
-9.29475194,-0.01525925,-6.08935800
-9.28835194,-0.01525925,-6.17938800
-9.28195195,-4.50148000,-6.17938800
-9.27555195,-4.50148000,-6.08935800
-9.26915195,-0.01525925,-6.17938800
-9.26275195,4.45570200,-6.08935800
-9.25635195,8.94192300,-6.08935800
-9.24995195,4.45570200,-6.08935800
-9.24355195,4.45570200,-6.17938800
-9.23715195,13.42814000,-6.08935800
-9.23075195,13.42814000,-6.08935800
-9.22435195,4.45570200,-6.08935800
-9.21795195,4.45570200,-6.08935800
-9.21155195,4.45570200,-6.08935800
-9.20515195,8.94192300,-6.08935800
-9.19875195,13.42814000,-6.17938800
-9.19235195,8.94192300,-6.08935800
-9.18595195,8.94192300,-6.08935800
-9.17955195,13.42814000,-6.08935800
-9.17315195,13.42814000,-6.08935800
-9.16675195,8.94192300,-6.08935800
-9.16035195,8.94192300,-6.08935800
-9.15395195,13.42814000,-6.08935800
-9.14755195,13.42814000,-6.08935800
-9.14115195,8.94192300,-6.08935800
-9.13475195,4.45570200,-6.08935800
-9.12835195,4.45570200,-6.08935800
-9.12195195,8.94192300,-6.17938800
-9.11555195,4.45570200,-6.17938800
-9.10915196,4.45570200,-6.08935800
-9.10275196,8.94192300,-6.08935800
-9.09635196,13.42814000,-6.08935800
-9.08995196,13.42814000,-6.08935800
-9.08355196,8.94192300,-6.08935800
-9.07715196,4.45570200,-6.08935800
-9.07075196,8.94192300,-6.08935800
-9.06435196,8.94192300,-6.08935800
-9.05795196,8.94192300,-6.08935800
-9.05155196,-0.01525925,-6.08935800
-9.04515196,-0.01525925,-6.08935800
-9.03875196,4.45570200,-6.08935800
-9.03235196,4.45570200,-6.08935800
-9.02595196,-4.50148000,-6.08935800
