Time,Channel A,Channel B
(ms),(mV),(V)

-10.01238357,0.91555530,-6.08935800
-10.00598357,7.22983500,-6.17938800
-9.99958357,7.22983500,-6.17938800
-9.99318357,3.62254700,-6.17938800
-9.98678357,3.62254700,-6.17938800
-9.98038357,8.13013100,-6.17938800
-9.97398358,8.13013100,-6.08935800
-9.96758358,5.42619100,-6.17938800
-9.96118358,7.22983500,-6.17938800
-9.95478358,6.32648700,-6.17938800
-9.94838358,4.52284300,-6.17938800
-9.94198358,1.81890300,-6.17938800
-9.93558358,5.42619100,-6.17938800
-9.92918358,6.32648700,-6.17938800
-9.92278358,1.81890300,-6.17938800
-9.91638358,0.91555530,-6.17938800
-9.90998358,5.42619100,-6.17938800
-9.90358358,5.42619100,-6.17938800
-9.89718358,0.91555530,-6.17938800
-9.89078358,4.52284300,-6.17938800
-9.88438358,7.22983500,-6.17938800
-9.87798358,3.62254700,-6.17938800
-9.87158358,0.91555530,-6.17938800
-9.86518358,6.32648700,-6.17938800
-9.85878358,7.22983500,-6.08935800
-9.85238358,2.71919900,-6.17938800
-9.84598358,0.91555530,-6.17938800
-9.83958358,5.42619100,-6.17938800
-9.83318358,4.52284300,-6.17938800
-9.82678358,0.91555530,-6.17938800
-9.82038358,1.81890300,-6.17938800
-9.81398358,4.52284300,-6.17938800
-9.80758358,2.71919900,-6.17938800
-9.80118359,0.01220740,-6.17938800
-9.79478359,4.52284300,-6.17938800
-9.78838359,7.22983500,-6.17938800
-9.78198359,4.52284300,-6.17938800
-9.77558359,2.71919900,-6.17938800
-9.76918359,7.22983500,-6.17938800
-9.76278359,7.22983500,-6.17938800
-9.75638359,2.71919900,-6.17938800
-9.74998359,1.81890300,-6.17938800
-9.74358359,4.52284300,-6.17938800
-9.73718359,2.71919900,-6.17938800
-9.73078359,-0.88808860,-6.17938800
-9.72438359,3.62254700,-6.17938800
-9.71798359,4.52284300,-6.17938800
-9.71158359,0.01220740,-6.17938800
-9.70518359,-1.79143600,-6.17938800
-9.69878359,4.52284300,-6.17938800
-9.69238359,4.52284300,-6.17938800
-9.68598359,0.91555530,-6.17938800
-9.67958359,3.62254700,-6.17938800
-9.67318359,8.13013100,-6.17938800
-9.66678359,9.03042700,-6.17938800
-9.66038359,6.32648700,-6.17938800
-9.65398359,9.03042700,-6.17938800
-9.64758359,11.73742000,-6.17938800
-9.64118359,9.03042700,-6.17938800
-9.63478360,5.42619100,-6.08935800
-9.62838360,8.13013100,-6.17938800
-9.62198360,10.83407000,-6.08935800
-9.61558360,3.62254700,-6.17938800
-9.60918360,2.71919900,-6.17938800
-9.60278360,6.32648700,-6.17938800
-9.59638360,3.62254700,-6.17938800
-9.58998360,0.91555530,-6.17938800
-9.58358360,0.01220740,-6.17938800
-9.57718360,2.71919900,-6.17938800
-9.57078360,0.91555530,-6.17938800
-9.56438360,-1.79143600,-6.17938800
-9.55798360,3.62254700,-6.17938800
-9.55158360,5.42619100,-6.17938800
-9.54518360,1.81890300,-6.17938800
-9.53878360,0.01220740,-6.17938800
-9.53238360,5.42619100,-6.17938800
-9.52598360,4.52284300,-6.17938800
-9.51958360,0.91555530,-6.17938800
-9.51318360,1.81890300,-6.17938800
-9.50678360,5.42619100,-6.17938800
-9.50038360,3.62254700,-6.17938800
-9.49398360,0.91555530,-6.17938800
-9.48758360,3.62254700,-6.17938800
-9.48118360,7.22983500,-6.08935800
-9.47478360,4.52284300,-6.17938800
-9.46838361,2.71919900,-6.17938800
-9.46198361,9.03042700,-6.17938800
-9.45558361,11.73742000,-6.17938800
-9.44918361,9.03042700,-6.17938800
-9.44278361,9.03042700,-6.17938800
-9.43638361,14.44136000,-6.17938800
-9.42998361,11.73742000,-6.17938800
-9.42358361,7.22983500,-6.17938800
-9.41718361,8.13013100,-6.17938800
-9.41078361,9.03042700,-6.17938800
-9.40438361,5.42619100,-6.17938800
-9.39798361,1.81890300,-6.08935800
-9.39158361,9.03042700,-6.17938800
-9.38518361,10.83407000,-6.17938800
-9.37878361,5.42619100,-6.17938800
-9.37238361,5.42619100,-6.08935800
-9.36598361,9.03042700,-6.08935800
-9.35958361,9.93377500,-6.08935800
-9.35318361,6.32648700,-6.17938800
-9.34678361,9.03042700,-6.17938800
-9.34038361,11.73742000,-6.17938800
-9.33398361,9.03042700,-6.17938800
-9.32758361,5.42619100,-6.17938800
-9.32118361,9.93377500,-6.17938800
-9.31478361,13.54106000,-6.17938800
-9.30838361,8.13013100,-6.08935800
-9.30198361,8.13013100,-6.08935800
-9.29558362,13.54106000,-6.08935800
-9.28918362,13.54106000,-6.17938800
-9.28278362,9.03042700,-6.17938800
-9.27638362,10.83407000,-6.17938800
-9.26998362,14.44136000,-6.08935800
-9.26358362,10.83407000,-6.17938800
-9.25718362,6.32648700,-6.08935800
-9.25078362,10.83407000,-6.08935800
-9.24438362,11.73742000,-6.17938800
-9.23798362,7.22983500,-6.08935800
-9.23158362,5.42619100,-6.17938800
-9.22518362,9.93377500,-6.17938800
-9.21878362,9.93377500,-6.08935800
-9.21238362,4.52284300,-6.08935800
-9.20598362,4.52284300,-6.17938800
-9.19958362,7.22983500,-6.17938800
-9.19318362,4.52284300,-6.08935800
-9.18678362,1.81890300,-6.08935800
-9.18038362,5.42619100,-6.08935800
-9.17398362,9.03042700,-6.08935800
-9.16758362,4.52284300,-6.08935800
-9.16118362,3.62254700,-6.08935800
-9.15478362,8.13013100,-6.08935800
-9.14838362,9.93377500,-6.08935800
-9.14198362,4.52284300,-6.08935800
-9.13558362,5.42619100,-6.08935800
-9.12918363,8.13013100,-6.08935800
-9.12278363,8.13013100,-6.08935800
-9.11638363,7.22983500,-6.08935800
-9.10998363,9.93377500,-6.08935800
-9.10358363,12.63772000,-6.08935800
-9.09718363,10.83407000,-6.08935800
-9.09078363,9.03042700,-6.08935800
-9.08438363,14.44136000,-6.08935800
-9.07798363,15.34471000,-6.08935800
-9.07158363,9.93377500,-6.08935800
-9.06518363,9.93377500,-6.08935800
-9.05878363,13.54106000,-6.08935800
-9.05238363,12.63772000,-6.08935800
-9.04598363,8.13013100,-6.08935800
-9.03958363,9.93377500,-6.08935800
-9.03318363,13.54106000,-6.08935800
-9.02678363,9.93377500,-6.08935800
-9.02038363,8.13013100,-6.08935800
-9.01398363,11.73742000,-6.08935800
