Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Trial 8,Trial 9,Trial 10
0,2,1,0,0,0,0,0,0,0
2,1,0,1,1,1,0,0,2,1
1,6,0,6,4,3,1,3,5,3
18,18,9,19,20,9,2,17,6,8
11,27,13,32,25,28,8,27,26,23
23,41,25,53,45,33,19,31,46,37
56,67,76,76,67,59,60,72,74,47
76,79,69,61,80,78,60,66,69,81
93,69,82,63,79,77,86,83,80,72
75,72,75,77,81,91,97,93,74,92
66,55,77,57,51,60,89,53,55,69
37,30,36,34,20,40,41,34,33,38
29,19,25,15,21,14,25,15,22,20
12,7,12,6,5,6,5,5,2,10
4,6,8,4,3,0,6,2,3,0
1,1,1,0,3,0,1,0,2,0
0,0,1,0,0,0,0,0,0,0
